customer_id,purchase_date,purchase_amount,last_purchase_date,interaction_count,CLV
24,2022-07-22,68.67,2024-01-09,42,901.47
25,2022-08-04,216.8,2023-12-26,15,2641.45
25,2023-11-26,457.34,2023-12-26,15,2641.45
25,2022-09-10,482.84,2023-12-26,24,2641.45
25,2023-09-22,170.67,2023-12-26,7,2641.45
25,2023-04-08,386.62,2023-12-26,18,2641.45
25,2023-03-14,305.66,2023-12-26,36,2641.45
25,2022-09-07,132.94,2023-12-26,26,2641.45
25,2022-07-25,71.78,2023-12-26,47,2641.45
25,2023-04-18,32.71,2023-12-26,43,2641.45
25,2023-11-25,269.59,2023-12-26,23,2641.45
25,2022-10-11,114.5,2023-12-26,47,2641.45
26,2022-07-20,306.68,2023-12-24,36,2729.83
26,2023-03-20,310.63,2023-12-24,1,2729.83
26,2023-05-11,341.5,2023-12-24,21,2729.83
26,2023-10-03,69.87,2023-12-24,14,2729.83
26,2023-01-31,36.82,2023-12-24,18,2729.83
26,2022-07-14,32.4,2023-12-24,17,2729.83
26,2023-12-22,59.43,2023-12-24,15,2729.83
26,2023-09-09,324.0,2023-12-24,28,2729.83
26,2023-05-18,312.15,2023-12-24,10,2729.83
26,2023-07-01,259.95,2023-12-24,12,2729.83
26,2023-09-17,473.71,2023-12-24,26,2729.83
26,2022-08-31,110.96,2023-12-24,37,2729.83
26,2023-11-08,91.73,2023-12-24,39,2729.83
27,2024-05-19,117.19,2024-06-17,47,1858.18
27,2023-11-25,372.29,2024-06-17,5,1858.18
27,2023-02-01,333.71,2024-06-17,33,1858.18
27,2023-09-10,497.13,2024-06-17,9,1858.18
27,2022-08-24,455.28,2024-06-17,16,1858.18
27,2023-10-05,82.58,2024-06-17,43,1858.18
28,2023-03-20,309.63,2024-03-10,17,3483.9
28,2022-09-01,298.92,2024-03-10,19,3483.9
28,2024-02-10,448.01,2024-03-10,15,3483.9
28,2022-10-31,246.49,2024-03-10,11,3483.9
28,2022-09-21,322.66,2024-03-10,9,3483.9
28,2022-07-10,488.55,2024-03-10,37,3483.9
28,2022-12-15,37.59,2024-03-10,37,3483.9
28,2022-08-16,180.39,2024-03-10,45,3483.9
28,2023-08-18,140.38,2024-03-10,34,3483.9
28,2023-11-11,432.01,2024-03-10,33,3483.9
28,2023-04-21,407.0,2024-03-10,7,3483.9
28,2023-04-10,75.03,2024-03-10,43,3483.9
28,2023-02-02,97.24,2024-03-10,21,3483.9
29,2022-11-08,363.76,2024-04-15,6,3444.8399999999997
29,2023-12-19,33.71,2024-04-15,30,3444.8399999999997
29,2023-09-14,107.01,2024-04-15,14,3444.8399999999997
29,2023-05-20,63.29,2024-04-15,45,3444.8399999999997
29,2024-04-01,314.5,2024-04-15,27,3444.8399999999997
29,2022-11-26,44.72,2024-04-15,19,3444.8399999999997
29,2022-10-28,94.18,2024-04-15,29,3444.8399999999997
29,2023-08-15,310.13,2024-04-15,44,3444.8399999999997
29,2024-02-29,282.47,2024-04-15,22,3444.8399999999997
29,2022-07-06,263.01,2024-04-15,41,3444.8399999999997
29,2023-08-01,215.14,2024-04-15,25,3444.8399999999997
29,2023-05-21,46.41,2024-04-15,20,3444.8399999999997
29,2024-04-12,192.89,2024-04-15,24,3444.8399999999997
29,2022-06-25,21.17,2024-04-15,44,3444.8399999999997
29,2023-07-28,32.11,2024-04-15,7,3444.8399999999997
29,2024-01-05,370.28,2024-04-15,48,3444.8399999999997
29,2024-03-24,227.09,2024-04-15,14,3444.8399999999997
29,2022-10-24,351.49,2024-04-15,28,3444.8399999999997
29,2024-03-04,26.45,2024-04-15,7,3444.8399999999997
29,2023-01-24,85.03,2024-04-15,25,3444.8399999999997
30,2023-01-15,164.02,2024-03-25,35,4627.95
30,2022-06-29,280.45,2024-03-25,19,4627.95
30,2023-06-15,143.13,2024-03-25,36,4627.95
30,2023-04-18,193.12,2024-03-25,33,4627.95
30,2023-07-18,237.38,2024-03-25,15,4627.95
30,2023-08-16,301.33,2024-03-25,33,4627.95
30,2023-10-23,160.81,2024-03-25,29,4627.95
30,2022-12-12,344.53,2024-03-25,17,4627.95
30,2023-09-10,477.91,2024-03-25,27,4627.95
30,2023-08-28,288.13,2024-03-25,1,4627.95
30,2023-06-15,334.82,2024-03-25,35,4627.95
30,2023-05-01,340.12,2024-03-25,50,4627.95
30,2023-12-11,244.65,2024-03-25,29,4627.95
30,2024-02-02,486.14,2024-03-25,42,4627.95
30,2023-10-08,276.65,2024-03-25,23,4627.95
30,2023-11-22,82.21,2024-03-25,25,4627.95
30,2024-01-12,77.12,2024-03-25,18,4627.95
30,2023-02-21,98.1,2024-03-25,0,4627.95
30,2023-09-16,97.33,2024-03-25,49,4627.95
31,2023-08-06,180.48,2024-05-09,36,3735.94
31,2023-12-19,115.25,2024-05-09,29,3735.94
31,2023-05-20,11.53,2024-05-09,33,3735.94
31,2023-06-14,79.17,2024-05-09,6,3735.94
31,2022-07-02,30.7,2024-05-09,36,3735.94
31,2023-06-29,56.17,2024-05-09,2,3735.94
31,2024-04-06,491.29,2024-05-09,28,3735.94
31,2022-10-26,332.04,2024-05-09,28,3735.94
31,2022-09-16,414.81,2024-05-09,25,3735.94
31,2024-03-23,330.55,2024-05-09,39,3735.94
31,2023-06-14,35.44,2024-05-09,34,3735.94
31,2023-09-14,176.03,2024-05-09,48,3735.94
31,2024-03-24,370.31,2024-05-09,49,3735.94
31,2022-10-03,207.07,2024-05-09,50,3735.94
31,2024-04-02,37.31,2024-05-09,44,3735.94
31,2023-09-12,297.15,2024-05-09,17,3735.94
31,2023-11-06,231.42,2024-05-09,7,3735.94
31,2023-06-30,339.22,2024-05-09,28,3735.94
32,2022-08-30,287.23,2023-09-16,1,2005.49
32,2022-12-12,395.32,2023-09-16,10,2005.49
32,2023-06-27,86.18,2023-09-16,23,2005.49
32,2022-09-29,476.51,2023-09-16,18,2005.49
32,2022-08-02,109.58,2023-09-16,25,2005.49
32,2023-01-04,492.17,2023-09-16,39,2005.49
32,2023-01-25,23.19,2023-09-16,42,2005.49
32,2022-12-31,135.31,2023-09-16,25,2005.49
33,2022-09-29,477.8,2023-10-03,25,5833.1
33,2023-09-27,173.24,2023-10-03,14,5833.1
33,2022-07-28,108.61,2023-10-03,3,5833.1
33,2023-01-22,415.41,2023-10-03,36,5833.1
33,2023-03-04,451.52,2023-10-03,4,5833.1
33,2023-01-11,338.94,2023-10-03,44,5833.1
33,2023-07-17,309.14,2023-10-03,20,5833.1
33,2023-09-25,411.4,2023-10-03,18,5833.1
33,2022-12-30,401.55,2023-10-03,26,5833.1
33,2023-08-13,107.61,2023-10-03,27,5833.1
33,2023-07-22,229.32,2023-10-03,6,5833.1
33,2022-07-07,36.75,2023-10-03,34,5833.1
33,2023-04-09,407.49,2023-10-03,6,5833.1
33,2023-04-25,182.71,2023-10-03,13,5833.1
33,2023-09-23,407.29,2023-10-03,15,5833.1
33,2023-04-15,414.31,2023-10-03,16,5833.1
33,2023-02-17,359.89,2023-10-03,4,5833.1
33,2022-07-17,415.98,2023-10-03,5,5833.1
33,2023-03-21,184.14,2023-10-03,23,5833.1
34,2023-02-08,417.85,2023-11-12,30,2907.9900000000002
34,2023-03-19,391.21,2023-11-12,18,2907.9900000000002
34,2023-08-17,105.03,2023-11-12,15,2907.9900000000002
34,2023-08-22,249.99,2023-11-12,49,2907.9900000000002
34,2022-09-18,338.1,2023-11-12,0,2907.9900000000002
34,2022-10-08,251.41,2023-11-12,40,2907.9900000000002
34,2023-02-10,275.52,2023-11-12,22,2907.9900000000002
34,2022-11-13,88.97,2023-11-12,47,2907.9900000000002
34,2023-08-03,355.0,2023-11-12,34,2907.9900000000002
34,2022-10-03,344.91,2023-11-12,42,2907.9900000000002
34,2023-03-23,90.0,2023-11-12,3,2907.9900000000002
35,2023-06-12,163.13,2023-11-23,25,1332.58
35,2023-03-26,130.79,2023-11-23,33,1332.58
35,2022-12-18,69.14,2023-11-23,45,1332.58
35,2022-09-02,216.98,2023-11-23,45,1332.58
35,2022-07-07,291.09,2023-11-23,7,1332.58
35,2023-04-08,461.45,2023-11-23,37,1332.58
36,2022-07-20,463.03,2024-01-01,6,4529.26
36,2023-10-25,257.91,2024-01-01,30,4529.26
36,2023-03-23,47.84,2024-01-01,15,4529.26
36,2022-11-07,338.62,2024-01-01,41,4529.26
36,2022-09-22,103.95,2024-01-01,6,4529.26
36,2023-02-15,194.02,2024-01-01,46,4529.26
36,2023-01-30,146.92,2024-01-01,34,4529.26
36,2022-10-07,47.47,2024-01-01,29,4529.26
36,2023-03-27,491.5,2024-01-01,23,4529.26
36,2022-10-11,323.58,2024-01-01,44,4529.26
36,2023-04-30,138.26,2024-01-01,0,4529.26
36,2022-11-02,59.25,2024-01-01,0,4529.26
36,2022-07-08,70.99,2024-01-01,17,4529.26
36,2023-03-02,148.94,2024-01-01,37,4529.26
36,2023-11-01,347.48,2024-01-01,3,4529.26
36,2023-11-26,471.9,2024-01-01,33,4529.26
36,2023-05-10,325.24,2024-01-01,30,4529.26
36,2022-08-13,102.93,2024-01-01,28,4529.26
36,2022-09-08,77.53,2024-01-01,5,4529.26
36,2023-09-23,371.9,2024-01-01,1,4529.26
37,2022-07-27,144.09,2023-09-23,9,3103.56
37,2023-05-16,138.43,2023-09-23,2,3103.56
37,2022-06-23,35.56,2023-09-23,48,3103.56
37,2023-06-16,254.68,2023-09-23,43,3103.56
37,2022-06-26,312.31,2023-09-23,4,3103.56
37,2023-07-19,367.34,2023-09-23,8,3103.56
37,2022-12-15,324.52,2023-09-23,20,3103.56
37,2022-11-10,167.25,2023-09-23,17,3103.56
37,2022-09-02,450.13,2023-09-23,30,3103.56
37,2022-06-30,443.16,2023-09-23,1,3103.56
37,2023-02-20,216.87,2023-09-23,37,3103.56
37,2022-12-25,97.93,2023-09-23,18,3103.56
37,2023-08-10,151.29,2023-09-23,4,3103.56
38,2022-09-16,88.44,2023-10-26,43,1483.47
38,2022-11-01,183.14,2023-10-26,13,1483.47
38,2022-07-19,26.3,2023-10-26,34,1483.47
38,2023-01-13,419.5,2023-10-26,11,1483.47
38,2023-10-10,361.82,2023-10-26,46,1483.47
38,2022-07-01,15.56,2023-10-26,38,1483.47
38,2023-08-20,388.71,2023-10-26,49,1483.47
39,2023-08-24,120.62,2023-11-18,4,2649.82
39,2023-09-06,142.86,2023-11-18,5,2649.82
39,2023-07-03,78.04,2023-11-18,9,2649.82
39,2022-06-28,18.58,2023-11-18,19,2649.82
39,2022-10-28,87.91,2023-11-18,47,2649.82
39,2023-01-19,419.25,2023-11-18,11,2649.82
39,2023-08-11,99.75,2023-11-18,37,2649.82
39,2022-10-10,462.12,2023-11-18,47,2649.82
39,2023-02-09,247.37,2023-11-18,19,2649.82
39,2023-02-09,85.23,2023-11-18,16,2649.82
39,2023-01-01,103.64,2023-11-18,28,2649.82
39,2023-01-12,84.07,2023-11-18,31,2649.82
39,2023-01-16,359.8,2023-11-18,8,2649.82
39,2023-08-03,340.58,2023-11-18,30,2649.82
40,2022-10-25,264.02,2023-07-08,19,264.02
41,2023-02-06,402.55,2024-03-30,43,3897.67
41,2022-08-14,214.56,2024-03-30,35,3897.67
41,2022-07-10,266.59,2024-03-30,32,3897.67
41,2024-01-27,306.15,2024-03-30,34,3897.67
41,2022-07-28,20.06,2024-03-30,23,3897.67
41,2022-08-03,355.58,2024-03-30,40,3897.67
41,2024-02-06,335.23,2024-03-30,20,3897.67
41,2023-09-28,499.5,2024-03-30,34,3897.67
41,2022-09-22,445.23,2024-03-30,30,3897.67
41,2024-03-08,486.97,2024-03-30,1,3897.67
41,2022-08-30,331.24,2024-03-30,23,3897.67
41,2022-09-02,234.01,2024-03-30,44,3897.67
42,2023-08-27,210.59,2024-02-24,9,4310.34
42,2023-07-24,247.54,2024-02-24,1,4310.34
42,2022-10-21,328.05,2024-02-24,23,4310.34
42,2022-11-06,30.33,2024-02-24,14,4310.34
42,2022-08-13,238.61,2024-02-24,33,4310.34
42,2023-05-18,329.96,2024-02-24,48,4310.34
42,2023-07-13,24.45,2024-02-24,45,4310.34
42,2022-07-25,192.97,2024-02-24,16,4310.34
42,2022-10-20,379.86,2024-02-24,22,4310.34
42,2024-02-05,314.15,2024-02-24,40,4310.34
42,2023-04-21,180.94,2024-02-24,44,4310.34
42,2023-08-29,139.13,2024-02-24,43,4310.34
42,2022-09-02,341.08,2024-02-24,42,4310.34
42,2022-09-26,431.83,2024-02-24,13,4310.34
42,2023-08-17,148.11,2024-02-24,27,4310.34
42,2023-02-02,288.24,2024-02-24,10,4310.34
42,2023-02-11,202.56,2024-02-24,6,4310.34
42,2023-01-18,281.94,2024-02-24,3,4310.34
43,2023-09-06,141.14,2024-03-08,42,141.14
44,2022-08-20,449.98,2024-02-15,8,2637.41
44,2023-01-23,80.19,2024-02-15,30,2637.41
44,2022-10-07,253.79,2024-02-15,27,2637.41
44,2022-06-21,33.52,2024-02-15,30,2637.41
44,2023-01-12,45.43,2024-02-15,7,2637.41
44,2023-05-17,479.67,2024-02-15,40,2637.41
44,2023-03-15,495.56,2024-02-15,21,2637.41
44,2023-04-10,427.43,2024-02-15,17,2637.41
44,2023-01-06,371.84,2024-02-15,26,2637.41
45,2023-09-12,405.86,2024-03-19,6,3617.05
45,2023-04-12,480.27,2024-03-19,11,3617.05
45,2022-10-07,52.31,2024-03-19,24,3617.05
45,2023-12-01,329.27,2024-03-19,33,3617.05
45,2023-07-11,346.97,2024-03-19,41,3617.05
45,2022-07-09,122.14,2024-03-19,5,3617.05
45,2023-04-06,258.34,2024-03-19,37,3617.05
45,2024-01-10,210.87,2024-03-19,49,3617.05
45,2023-08-11,434.29,2024-03-19,3,3617.05
45,2023-03-18,61.39,2024-03-19,14,3617.05
45,2023-10-25,260.96,2024-03-19,43,3617.05
45,2022-07-24,162.79,2024-03-19,48,3617.05
45,2022-09-24,491.59,2024-03-19,39,3617.05
46,2023-08-23,476.66,2023-11-23,45,5156.99
46,2023-11-20,43.52,2023-11-23,39,5156.99
46,2022-10-14,156.43,2023-11-23,36,5156.99
46,2022-10-02,109.2,2023-11-23,44,5156.99
46,2022-08-21,446.57,2023-11-23,3,5156.99
46,2022-12-18,259.29,2023-11-23,4,5156.99
46,2022-07-28,369.62,2023-11-23,25,5156.99
46,2023-05-16,212.59,2023-11-23,6,5156.99
46,2023-10-23,377.41,2023-11-23,11,5156.99
46,2022-06-22,399.4,2023-11-23,28,5156.99
46,2022-11-22,390.21,2023-11-23,43,5156.99
46,2022-08-23,351.6,2023-11-23,2,5156.99
46,2023-09-06,467.99,2023-11-23,14,5156.99
46,2023-05-06,299.35,2023-11-23,20,5156.99
46,2023-07-08,18.04,2023-11-23,30,5156.99
46,2023-02-11,451.98,2023-11-23,32,5156.99
46,2023-01-15,226.63,2023-11-23,35,5156.99
46,2022-07-20,100.5,2023-11-23,32,5156.99
47,2024-01-27,191.87,2024-03-01,37,1904.03
47,2023-06-04,372.25,2024-03-01,35,1904.03
47,2022-07-04,16.66,2024-03-01,32,1904.03
